40	50	45
40	50	45
40	51	45
40	51	45
40	50	45
40	50	45
41	50	45
41	52	45
39	52	45
38	52	45
39	52	45
40	52	46
39	52	45
39	52	45
39	52	45
40	52	43
40	52	44
39	52	44
39	52	44
38	52	44
38	52	44
37	52	44
36	52	44
36	51	43
36	50	43
36	50	43
36	50	43
36	51	43
36	51	43
37	51	43
38	51	42
38	52	43
38	52	43
38	52	43
38	52	43
38	52	43
38	52	42
40	52	42
40	52	42
36	51	43
37	51	44
37	51	44
36	51	44
37	51	44
38	51	43
37	51	43
36	51	43
35	51	43
35	51	42
35	51	42
35	51	42
34	51	42
34	51	42
35	51	41
35	51	41
33	50	41
34	51	40
34	51	41
34	51	41
34	50	41
34	50	41
35	50	40
36	50	40
36	49	39
36	49	40
35	49	40
35	49	40
35	49	40
35	49	40
35	49	40
35	49	39
36	48	38
35	47	38
35	47	38
36	48	37
36	48	37
36	48	37
36	47	37
36	47	37
36	48	37
36	48	37
36	48	37
36	48	37
36	48	37
35	47	38
34	48	37
35	48	39
35	50	37
34	49	38
33	49	38
33	49	38
33	50	39
33	50	39
32	51	39
32	50	40
32	51	41
32	51	41
32	52	41
32	52	41
32	52	41
32	52	41
32	52	41
32	52	41
32	51	41
32	51	40
32	51	39
31	51	40
31	51	40
32	51	39
31	51	39
32	51	38
31	50	37
32	49	37
32	49	34
31	48	33
31	47	34
31	45	33
33	46	31
34	44	31
37	41	29
40	40	28
42	41	28
40	41	31
35	43	33
31	44	36
29	45	38
29	47	39
30	47	40
30	48	41
30	49	40
30	49	40
30	50	40
31	50	40
31	50	39
32	50	39
32	51	41
40	50	45
40	50	45
40	50	45
40	50	45
40	50	45
40	50	45
40	50	45
40	52	45
39	52	46
39	52	46
40	52	46
41	52	45
40	52	46
39	52	45
39	52	45
38	52	44
38	52	44
39	52	44
39	52	44
38	52	44
37	52	44
37	52	44
36	52	44
36	51	43
37	51	43
37	51	43
37	51	43
36	51	43
37	51	43
38	52	42
39	52	42
38	52	43
38	52	43
38	52	43
38	52	43
39	53	43
40	53	43
40	53	42
41	52	41
36	52	44
37	51	44
36	51	44
36	51	45
36	51	43
38	51	43
37	51	44
36	51	44
36	51	43
36	51	43
35	51	42
35	51	42
34	51	43
34	51	43
35	51	42
35	51	41
33	50	41
34	51	40
34	51	41
34	51	41
34	51	41
34	51	41
35	50	40
36	50	40
36	50	40
36	49	40
35	49	40
35	49	40
35	49	40
35	49	40
35	49	40
35	49	39
36	49	38
36	49	38
36	48	37
36	48	37
36	48	37
37	48	38
37	48	38
37	48	38
37	48	37
37	48	37
37	48	38
37	48	38
36	49	38
36	48	38
35	48	38
35	48	39
34	50	37
34	50	39
33	50	39
32	50	40
33	51	39
33	51	39
32	50	40
32	50	40
32	51	41
32	51	41
32	52	41
32	52	41
32	52	41
32	52	41
32	52	41
32	52	41
32	51	40
31	50	39
31	51	40
31	51	40
31	51	40
31	51	40
32	51	39
31	51	39
32	51	38
32	50	38
32	50	36
31	49	36
30	48	36
29	47	36
31	47	34
32	45	33
32	43	31
36	42	29
40	42	29
41	43	31
37	44	32
33	45	36
30	46	37
30	46	39
29	47	39
29	48	40
30	49	40
30	49	40
30	50	40
31	50	40
31	50	39
31	50	40
32	51	41
42	50	45
41	50	45
41	50	45
41	50	45
41	50	44
41	50	45
40	50	45
40	52	45
40	52	46
40	52	46
41	52	45
41	52	45
40	52	45
40	52	45
40	52	44
38	52	44
38	52	44
38	52	44
38	52	44
38	52	44
38	52	44
37	52	44
36	51	43
37	51	43
37	51	43
36	51	43
36	51	43
37	51	43
38	51	43
38	52	42
39	52	42
38	52	43
38	52	43
38	52	43
37	52	43
38	53	44
38	53	44
38	53	43
38	52	44
37	51	44
38	51	44
37	51	44
36	51	44
37	51	44
38	51	43
37	51	44
35	51	43
36	51	43
36	51	43
35	51	42
35	51	42
35	51	42
35	51	42
35	51	42
35	51	42
33	50	41
34	51	40
34	51	41
34	51	41
34	51	41
34	51	41
35	50	40
36	50	40
36	50	40
36	50	40
35	49	40
35	49	40
35	49	40
35	49	40
35	49	40
35	49	39
36	48	37
36	48	37
36	48	37
36	48	37
37	48	38
37	48	38
37	48	37
37	48	37
37	48	38
37	48	38
37	48	38
36	48	37
36	49	38
35	48	38
35	48	38
35	49	39
34	50	38
33	50	39
32	50	39
32	50	39
32	51	39
32	50	40
32	50	40
31	50	39
32	51	40
32	51	40
32	51	40
32	52	40
32	52	40
32	52	40
32	52	40
32	51	40
31	50	39
31	50	39
31	50	40
31	51	41
31	51	40
31	51	40
32	51	39
32	51	39
32	51	38
32	51	38
32	50	38
31	49	37
30	48	37
30	48	36
30	47	36
31	47	35
30	45	33
